Time,Open,High,Low,Last,Change,Volume
10/28/2019 2:00,83.179,83.183,83.138,83.159,-0.02,4871
10/28/2019 1:00,83.142,83.185,83.118,83.179,0.037,3836
10/28/2019 0:00,83.177,83.185,83.131,83.142,-0.034,3110
10/27/2019 23:00,83.181,83.198,83.173,83.176,-0.005,2654
10/27/2019 22:00,83.17,83.191,83.151,83.181,0.012,2694
10/27/2019 21:00,83.199,83.216,83.164,83.169,-0.03,3383
10/27/2019 20:00,83.224,83.23,83.186,83.199,-0.025,4465
10/27/2019 19:00,83.218,83.232,83.187,83.224,0.007,2331
10/27/2019 18:00,83.221,83.231,83.204,83.217,-0.004,1724
10/27/2019 17:00,83.227,83.259,83.186,83.221,-0.007,1636
10/27/2019 16:00,83.219,83.235,83.21,83.228,0.006,511
10/27/2019 15:00,83.25,83.25,83.222,83.222,0.023,47
10/25/2019 15:00,83.22,83.228,83.173,83.199,-0.02,3541
10/25/2019 14:00,83.212,83.219,83.138,83.219,0.006,4930
10/25/2019 13:00,83.229,83.238,83.174,83.213,-0.015,5096
10/25/2019 12:00,83.2,83.24,83.183,83.228,0.029,4841
10/25/2019 11:00,83.235,83.247,83.181,83.199,-0.035,7187
10/25/2019 10:00,83.118,83.241,83.082,83.234,0.116,10810
10/25/2019 9:00,83.115,83.174,83.075,83.118,0.003,10254
10/25/2019 8:00,83.086,83.162,83.065,83.115,0.03,8897
10/25/2019 7:00,83.048,83.119,82.998,83.085,0.037,7639
10/25/2019 6:00,83.15,83.15,83.045,83.048,-0.095,5281
10/25/2019 5:00,83.159,83.186,83.116,83.143,-0.016,4866
10/25/2019 4:00,83.107,83.175,83.104,83.159,0.051,5164
10/25/2019 3:00,83.145,83.175,83.097,83.108,-0.037,6004
10/25/2019 2:00,83.147,83.172,83.113,83.145,-0.002,6896
10/25/2019 1:00,83.146,83.167,83.124,83.147,0.001,5391
10/25/2019 0:00,83.114,83.154,83.103,83.146,0.033,4410
10/24/2019 23:00,83.109,83.124,83.098,83.113,0.004,3521
10/24/2019 22:00,83.1,83.129,83.089,83.109,0.009,3170
10/24/2019 21:00,83.094,83.111,83.079,83.1,0.007,4520
10/24/2019 20:00,83.114,83.143,83.082,83.093,-0.02,5428
10/24/2019 19:00,83.086,83.167,83.059,83.113,0.028,6326
10/24/2019 18:00,83.078,83.093,83.065,83.085,0.007,4484
10/24/2019 17:00,83.085,83.089,83.058,83.078,-0.006,3608
10/24/2019 16:00,83.084,83.106,83.052,83.084,-0.002,4164
10/24/2019 15:00,83.11,83.113,83.059,83.086,-0.023,3235
10/24/2019 14:00,83.092,83.122,83.07,83.109,0.017,4806
10/24/2019 13:00,83.014,83.096,83.003,83.092,0.077,5062
10/24/2019 12:00,82.998,83.02,82.985,83.015,0.017,5691
10/24/2019 11:00,83.052,83.063,82.945,82.998,-0.053,9179
10/24/2019 10:00,82.931,83.072,82.917,83.051,0.12,9934
10/24/2019 9:00,82.926,83.031,82.905,82.931,0.006,12615
10/24/2019 8:00,83.175,83.193,82.925,82.925,-0.251,12937
10/24/2019 7:00,83.06,83.191,83.038,83.176,0.116,9797
